condition	locus_id	pool_error_count	gdna_truth	mrna_truth	nrna_truth	locus_span_bp	n_transcripts	n_nrna_entities	n_genes	mrna	nrna	gdna	gdna_rate	gdna_prior	gdna_eff_len_per_bp	pool_error_fraction
gdna_zero_ss_0.50_nrna_high	15	6570	0	170041	6570	56271	19	8	2	176611.0	0.0	53294.0	0.23180879058741655	0.041906890215256225	0.7620130305740936	0.037200400881032325
gdna_high_ss_0.50_nrna_low	24	6515	1774	108999	8918	28337	15	5	1	110957.0	8734.0	12086.0	0.09171554975450952	0.05194428833557615	1.0122826263547546	0.054431828625377016
gdna_med_ss_0.99_nrna_high	44	6462	665	94196	18628	19206	15	5	1	95515.0	17974.0	3148.0	0.026989720243147542	0.0184057166327213	1.0172833721160779	0.05693943906457895
gdna_med_ss_0.50_nrna_high	34	6437	989	34913	18429	33391	10	4	2	36613.0	17718.0	16780.0	0.23596911870174797	0.1524044064070832	1.0099407809347294	0.11847748062800242
gdna_med_ss_0.50_nrna_low	24	6377	1123	110392	10694	28337	15	5	1	111672.0	10537.0	6666.0	0.051724539282250244	0.031337963753504124	1.012204203567017	0.0521810995916831
gdna_low_ss_0.99_nrna_low	24	6256	321	111302	13828	28337	15	5	1	111352.0	14099.0	1338.0	0.010552965951304925	0.006520554337239365	1.0117923620359117	0.04986807598185746
gdna_low_ss_0.50_nrna_high	52	5948	137	65267	8283	30370	4	1	1	69442.0	4245.0	21697.0	0.2274700159355867	0.07604653285081925	1.0099747364683334	0.0807198013218071
gdna_zero_ss_0.99_nrna_low	23	5890	0	111426	14219	28337	15	5	1	111738.0	13907.0	371.0	0.002944070594210259	0.0010536271027564827	1.008956837542325	0.046878108957777866
gdna_low_ss_0.99_nrna_high	44	5832	208	94335	19356	19206	15	5	1	95736.0	18163.0	1278.0	0.011095965340302317	0.006703790690603262	1.0157740691417982	0.0512032590277351
gdna_low_ss_0.50_nrna_low	24	5699	375	111030	12011	28337	15	5	1	111687.0	11729.0	3373.0	0.026603254225524297	0.015645741352395662	1.0117923620359117	0.04617715693265055
gdna_low_ss_0.50_nrna_high	34	5009	195	34315	13007	33391	10	4	2	36662.0	10855.0	21065.0	0.3071505642880056	0.12209044815391462	1.0090720926364936	0.1054149041395711
gdna_high_ss_0.50_nrna_high	44	4809	1204	92141	12512	19206	15	5	1	96111.0	9746.0	12767.0	0.10762577555975182	0.0666063112813228	1.0177153967726362	0.045429211105548054
gdna_zero_ss_0.50_nrna_high	47	4668	0	63186	4668	30370	4	1	1	67854.0	0.0	26758.0	0.28281824715680887	0.07204734986104876	1.0082361346411313	0.06879476523123176
gdna_low_ss_0.99_nrna_zero	31	4269	26	4243	0	2142	5	5	1	4269.0	0.0	62.0	0.01431540060032325	0.01013972586903696	1.1637589712796843	1.0
gdna_zero_ss_0.99_nrna_zero	29	4267	0	4267	0	2142	5	5	1	4267.0	0.0	0.0	0.0	0.0	1.1160415175297282	1.0
gdna_zero_ss_0.50_nrna_zero	29	4267	0	4267	0	2142	5	5	1	4267.0	0.0	0.0	0.0	0.0	1.1160415175297282	1.0
gdna_low_ss_0.50_nrna_zero	31	4252	31	4221	0	2142	5	5	1	4252.0	0.0	79.0	0.018240591087508657	0.010108802631504278	1.1637589712796843	1.0
gdna_zero_ss_0.99_nrna_low	29	4248	0	4248	0	2142	5	5	1	4248.0	0.0	19.0	0.00445277712678697	0.006478596144302712	1.1187439657184421	1.0
gdna_low_ss_0.99_nrna_low	31	4239	16	4223	0	2142	5	5	1	4239.0	0.0	84.0	0.01943095072866065	0.01600177581523986	1.1560454812027443	1.0
gdna_med_ss_0.99_nrna_zero	31	4218	63	4155	0	2142	5	5	1	4218.0	0.0	297.0	0.06578073089700996	0.03875746986210444	1.1636719911296782	1.0
gdna_med_ss_0.99_nrna_low	31	4217	70	4147	0	2142	5	5	1	4217.0	0.0	270.0	0.06017383552484957	0.044227027005030985	1.1614640625644006	1.0
gdna_med_ss_0.50_nrna_high	44	4209	633	92528	13026	19206	15	5	1	96162.0	10025.0	10450.0	0.08959421109939385	0.05155393963328188	1.0172833721160779	0.03963762042434573
gdna_low_ss_0.99_nrna_high	31	4182	29	4153	0	2142	5	5	1	4182.0	0.0	162.0	0.03729281767955801	0.03812431543149317	1.1414535454611534	1.0
gdna_high_ss_0.99_nrna_low	31	4169	96	4073	0	2142	5	5	1	4169.0	0.0	586.0	0.12323869610935857	0.07958874206633444	1.1624957240598144	1.0
gdna_low_ss_0.50_nrna_low	31	4162	26	4136	0	2142	5	5	1	4162.0	0.0	161.0	0.03724265556326625	0.025626425471421903	1.1560454812027443	1.0
gdna_med_ss_0.99_nrna_high	31	4147	45	4102	0	2142	5	5	1	4147.0	0.0	359.0	0.07967154904571683	0.06274406507175026	1.1549760384166121	1.0
gdna_med_ss_0.50_nrna_zero	31	4140	92	4048	0	2142	5	5	1	4140.0	0.0	375.0	0.08305647840531562	0.039089192809967414	1.1636719911296782	1.0
gdna_zero_ss_0.99_nrna_high	29	4129	0	4129	0	2142	5	5	1	4129.0	0.0	138.0	0.03234122334192641	0.03435424061460467	1.1168344060938213	1.0
gdna_high_ss_0.99_nrna_zero	31	4128	108	4020	0	2142	5	5	1	4128.0	0.0	645.0	0.13513513513513514	0.07299324237769396	1.163616517714307	1.0
gdna_med_ss_0.50_nrna_low	31	4116	90	4026	0	2142	5	5	1	4116.0	0.0	371.0	0.08268330733229329	0.053035615272121694	1.1614640625644006	1.0
gdna_high_ss_0.50_nrna_low	15	4105	2083	177335	7712	56271	19	8	2	180142.0	6988.0	18270.0	0.08894839337877312	0.06715893791174105	1.000636115830965	0.02193662159995725
gdna_high_ss_0.99_nrna_high	31	4104	100	4004	0	2142	5	5	1	4104.0	0.0	674.0	0.14106320636249478	0.0964423794851377	1.158846753273069	1.0
gdna_high_ss_0.50_nrna_zero	31	4094	166	3928	0	2142	5	5	1	4094.0	0.0	679.0	0.1422585376073748	0.07359682628622648	1.163616517714307	1.0
gdna_zero_ss_0.50_nrna_low	29	4080	0	4080	0	2142	5	5	1	4080.0	0.0	187.0	0.043824701195219126	0.020281478833594848	1.1187439657184421	1.0
gdna_high_ss_0.99_nrna_low	15	4035	1969	177893	11515	56271	19	8	2	180551.0	10826.0	14023.0	0.06827166504381695	0.05581734723496502	1.002914509160527	0.021084038311813855
gdna_high_ss_0.50_nrna_low	31	3975	150	3825	0	2142	5	5	1	3975.0	0.0	780.0	0.1640378548895899	0.08763123435627508	1.1624957240598144	1.0
gdna_zero_ss_0.99_nrna_high	26	3888	0	72766	10180	31751	13	4	1	71914.0	11032.0	622.0	0.00744304039823856	0.004480348521931812	0.6711008172066992	0.046873869746582114
gdna_med_ss_0.50_nrna_high	31	3881	66	3815	0	2142	5	5	1	3881.0	0.0	625.0	0.1387039502885042	0.10890229570700824	1.1549760384166121	1.0
gdna_high_ss_0.50_nrna_high	31	3863	138	3725	0	2142	5	5	1	3863.0	0.0	915.0	0.19150272080368355	0.13800019681359435	1.158846753273069	1.0
gdna_low_ss_0.50_nrna_high	31	3837	32	3805	0	2142	5	5	1	3837.0	0.0	507.0	0.11671270718232044	0.08984275317453679	1.1414535454611534	1.0
gdna_low_ss_0.99_nrna_zero	20	3624	14	3610	0	1448	4	4	1	3624.0	0.0	32.0	0.0087527352297593	0.007357880168368282	1.2422476111367142	1.0
gdna_zero_ss_0.50_nrna_zero	19	3623	0	3623	0	1448	4	4	1	3623.0	0.0	0.0	0.0	0.0	1.171658581660763	1.0
gdna_zero_ss_0.99_nrna_zero	19	3623	0	3623	0	1448	4	4	1	3623.0	0.0	0.0	0.0	0.0	1.171658581660763	1.0
gdna_low_ss_0.99_nrna_low	20	3620	15	3605	0	1448	4	4	1	3620.0	0.0	48.0	0.013086150490730643	0.011619093877138382	1.230836868435937	1.0
gdna_low_ss_0.50_nrna_zero	20	3619	13	3606	0	1448	4	4	1	3619.0	0.0	37.0	0.01012035010940919	0.007335440757370177	1.2422476111367142	1.0
gdna_zero_ss_0.99_nrna_low	19	3618	0	3618	0	1448	4	4	1	3618.0	0.0	5.0	0.001380071763731714	0.004824854260742778	1.175665657700324	1.0
gdna_low_ss_0.50_nrna_high	44	3616	117	91899	9372	19206	15	5	1	95438.0	5950.0	13789.0	0.11972008300268283	0.04033287606258816	1.0157740691417982	0.03566497021343749
gdna_med_ss_0.99_nrna_zero	20	3604	56	3548	0	1448	4	4	1	3604.0	0.0	195.0	0.05132929718346933	0.028217472633867473	1.2421174817433112	1.0
gdna_med_ss_0.99_nrna_low	20	3591	46	3545	0	1448	4	4	1	3591.0	0.0	203.0	0.05350553505535055	0.03209543795691781	1.238851310598423	1.0
gdna_med_ss_0.50_nrna_low	15	3589	1436	178011	9980	56271	19	8	2	180563.0	8864.0	10244.0	0.051304395730977455	0.04083189254672273	1.000399757944143	0.0189466126792907
gdna_low_ss_0.50_nrna_low	20	3576	19	3557	0	1448	4	4	1	3576.0	0.0	92.0	0.025081788440567066	0.018607674968447126	1.230836868435937	1.0
gdna_med_ss_0.50_nrna_zero	20	3572	69	3503	0	1448	4	4	1	3572.0	0.0	227.0	0.05975256646485917	0.028458984353715355	1.2421174817433112	1.0
gdna_med_ss_0.99_nrna_high	20	3563	46	3517	0	1448	4	4	1	3563.0	0.0	219.0	0.05790586991010047	0.046092874533196514	1.229253627765964	1.0
gdna_high_ss_0.99_nrna_low	20	3552	71	3481	0	1448	4	4	1	3552.0	0.0	413.0	0.10416141235813367	0.05852197449789186	1.2403772008891878	1.0
gdna_high_ss_0.99_nrna_zero	20	3543	77	3466	0	1448	4	4	1	3543.0	0.0	471.0	0.11733931240657698	0.05317277987667004	1.2420351763407325	1.0
gdna_zero_ss_0.99_nrna_high	19	3535	0	3535	0	1448	4	4	1	3535.0	0.0	88.0	0.024289263041678166	0.025617362880259068	1.1728331782219574	1.0
gdna_med_ss_0.50_nrna_low	20	3529	59	3470	0	1448	4	4	1	3529.0	0.0	265.0	0.06984712704269899	0.03848780745040162	1.238851310598423	1.0
gdna_low_ss_0.99_nrna_high	20	3528	12	3516	0	1448	4	4	1	3528.0	0.0	139.0	0.037905644941368964	0.028119325319996207	1.209250682247766	1.0
gdna_zero_ss_0.50_nrna_low	19	3523	0	3523	0	1448	4	4	1	3523.0	0.0	100.0	0.02760143527463428	0.015104380236833958	1.175665657700324	1.0
gdna_zero_ss_0.50_nrna_high	29	3516	0	3516	0	2142	5	5	1	3516.0	0.0	751.0	0.17600187485352706	0.09977572339339948	1.1168344060938213	1.0
gdna_high_ss_0.99_nrna_high	20	3502	76	3426	0	1448	4	4	1	3502.0	0.0	474.0	0.11921529175050302	0.07125490755863918	1.2349793260825437	1.0
gdna_high_ss_0.50_nrna_zero	20	3486	121	3365	0	1448	4	4	1	3486.0	0.0	528.0	0.13153961136023917	0.05361246762391975	1.2420351763407325	1.0
gdna_high_ss_0.50_nrna_low	20	3476	112	3364	0	1448	4	4	1	3476.0	0.0	489.0	0.12332912988650693	0.0644356567156497	1.2403772008891878	1.0
gdna_high_ss_0.99_nrna_high	21	3470	1436	77868	6998	32111	7	3	2	78818.0	7484.0	9233.0	0.096645208562307	0.0826951244706713	1.0013084464908155	0.04020764292832148
gdna_high_ss_0.99_nrna_high	27	3456	1295	72119	7543	31751	13	4	1	73311.0	7646.0	8976.0	0.0998076345724039	0.07598827939473149	0.9932662835644375	0.04268932890299789
gdna_zero_ss_0.50_nrna_high	32	3413	0	32473	3413	33391	10	4	2	35886.0	0.0	31836.0	0.470098343226721	0.11653017635331149	1.0074905729751404	0.09510672685727024
gdna_med_ss_0.50_nrna_high	20	3396	60	3336	0	1448	4	4	1	3396.0	0.0	386.0	0.10206240084611316	0.08000150845598011	1.229253627765964	1.0
gdna_high_ss_0.50_nrna_high	21	3378	1357	75094	3368	32111	7	3	2	77292.0	2527.0	15716.0	0.1645051551787303	0.1457993772237418	0.987500371062026	0.042320750698455256
gdna_med_ss_0.99_nrna_high	27	3376	772	72466	8546	31751	13	4	1	73081.0	8703.0	4939.0	0.056951443100446246	0.04233787302569579	1.0104542843930662	0.04127946786657537
gdna_zero_ss_0.50_nrna_high	41	3349	0	89919	3349	19206	15	5	1	93268.0	0.0	21424.0	0.18679594043176506	0.03755882079252376	1.0130262411894178	0.03590727795170905
gdna_med_ss_0.99_nrna_low	15	3346	1166	178214	12961	56271	19	8	2	180669.0	11672.0	7330.0	0.03671038858922928	0.028826321338266285	0.9928915250588967	0.017396186980414993
gdna_low_ss_0.50_nrna_high	20	3344	13	3331	0	1448	4	4	1	3344.0	0.0	323.0	0.08808290155440414	0.06626525815784269	1.209250682247766	1.0
gdna_high_ss_0.50_nrna_high	20	3331	109	3222	0	1448	4	4	1	3331.0	0.0	645.0	0.16222334004024144	0.10195923534364916	1.2349793260825437	1.0
gdna_high_ss_0.50_nrna_low	44	3306	1249	93506	7829	19206	15	5	1	95944.0	6640.0	7749.0	0.07023284058259995	0.042323504940298774	1.0181223229573295	0.0322272479139047
gdna_high_ss_0.99_nrna_low	44	3127	1040	93978	10056	19206	15	5	1	96339.0	8735.0	5259.0	0.04766479657038239	0.03468558911763482	1.012870140697996	0.029759978681690998
gdna_zero_ss_0.50_nrna_low	23	3066	0	107775	3066	28337	15	5	1	110841.0	0.0	15175.0	0.12042121635347892	0.010732811985686843	1.008956837542325	0.02766124448534387
gdna_zero_ss_0.99_nrna_low	41	3032	0	94456	11800	19206	15	5	1	95632.0	10624.0	189.0	0.00177556484569496	0.0006151539712073023	1.0132249308658203	0.02853485920795061
gdna_med_ss_0.99_nrna_low	21	3026	893	78937	3818	32111	7	3	2	80020.0	3628.0	5561.0	0.06233675974397202	0.04185525165032335	1.0083425666469386	0.03617540168324407
gdna_high_ss_0.99_nrna_high	43	3020	559	14404	4512	10807	9	4	2	14920.0	4555.0	3452.0	0.15056483621930475	0.10904548611018902	1.0314838314883767	0.15507060333761233
gdna_zero_ss_0.50_nrna_high	19	3012	0	3012	0	1448	4	4	1	3012.0	0.0	611.0	0.16864476952801546	0.07440103076306877	1.1728331782219574	1.0
gdna_med_ss_0.99_nrna_high	21	2994	817	78917	7733	32111	7	3	2	79558.0	7909.0	4701.0	0.05100468709313428	0.048292859462288874	1.0103370708967445	0.034230052476934156
gdna_med_ss_0.99_nrna_high	43	2928	330	14656	4772	10807	9	4	2	15039.0	4719.0	2051.0	0.09404374340868449	0.06641946509233614	1.030716336510417	0.1481931369571819
gdna_med_ss_0.50_nrna_high	21	2919	714	76024	3790	32111	7	3	2	77752.0	2776.0	11640.0	0.12629112056245118	0.11206306841197128	0.961340820941663	0.03624826147426982
gdna_med_ss_0.50_nrna_low	44	2895	801	94002	9178	19206	15	5	1	96272.0	7709.0	4397.0	0.04057096458690878	0.02555216771166242	1.018006841984069	0.02784162491224358
gdna_low_ss_0.99_nrna_low	21	2882	378	79588	4963	32111	7	3	2	79971.0	4958.0	1825.0	0.02103649399451322	0.012818436570697925	1.0104060073917662	0.03393422741348656
gdna_high_ss_0.99_nrna_high	26	2864	1303	9097	5162	55480	11	4	2	9841.0	5721.0	15745.0	0.5029226690516498	0.37585500765582636	0.98812134994715	0.18403804138285568
gdna_low_ss_0.99_nrna_high	27	2838	313	72698	9555	31751	13	4	1	73275.0	9291.0	1862.0	0.02205429478372104	0.015437879271479011	1.0095407947646886	0.03437250199840128
gdna_high_ss_0.50_nrna_high	43	2834	549	13501	3086	10807	9	4	2	14576.0	2560.0	5791.0	0.252584289265931	0.17759116032448166	1.0314838314883767	0.1653828197945845
gdna_high_ss_0.50_nrna_low	21	2794	1216	76469	1964	32111	7	3	2	79134.0	515.0	12669.0	0.13723217574037566	0.09371520797729105	1.010838992921955	0.035078908711973784
gdna_low_ss_0.99_nrna_high	43	2783	117	14869	5054	10807	9	4	2	15084.0	4956.0	1002.0	0.047619047619047616	0.034341241482464986	1.0280350556987166	0.13887225548902196
gdna_med_ss_0.99_nrna_low	44	2741	638	94195	10846	19206	15	5	1	96431.0	9248.0	2699.0	0.024903578216981307	0.017589460678522083	0.996487435389919	0.025937035740307913
gdna_high_ss_0.99_nrna_high	32	2695	832	22713	3604	24025	9	3	1	23413.0	3736.0	7032.0	0.2057283286036102	0.15110260104743403	0.9918568744209038	0.09926700799292791
gdna_med_ss_0.50_nrna_high	43	2685	281	13671	3262	10807	9	4	2	14706.0	2508.0	4595.0	0.21069283323398597	0.1401146803331839	1.030716336510417	0.1559776925758104
gdna_med_ss_0.50_nrna_low	21	2640	858	77711	2924	32111	7	3	2	79924.0	1569.0	7716.0	0.08649351522828415	0.05695054237323417	1.0107697313011783	0.03239542046556146
gdna_zero_ss_0.99_nrna_high	40	2591	0	14816	4978	10807	9	4	2	15025.0	4769.0	945.0	0.04556632431650513	0.025923530318485256	1.0231535153607159	0.13089825199555422
gdna_med_ss_0.99_nrna_high	26	2570	923	9365	6592	55480	11	4	2	9806.0	7074.0	8841.0	0.34372691574977643	0.24881339497108718	1.0059825918617251	0.15225118483412323
gdna_low_ss_0.99_nrna_high	21	2545	251	79424	8424	32111	7	3	2	79630.0	8469.0	1786.0	0.019869833676364242	0.02136068486955192	1.0094338077244123	0.02888795559540971
gdna_high_ss_0.99_nrna_low	21	2507	1147	77900	2678	32111	7	3	2	79957.0	1768.0	10593.0	0.1147446868433025	0.0791704180521843	1.009312499611877	0.030676047721015603
gdna_med_ss_0.99_nrna_high	32	2498	537	23014	4171	24025	9	3	1	23489.0	4233.0	4152.0	0.13026291020894773	0.09075944756175143	1.0138164589538317	0.09010893874900801
gdna_low_ss_0.50_nrna_low	15	2487	441	178477	11912	56271	19	8	2	180628.0	10202.0	4560.0	0.023337939505604175	0.019759907333289906	0.9617820020747992	0.013032542053136299
gdna_zero_ss_0.99_nrna_low	20	2463	0	79677	5036	32111	7	3	2	80020.0	4693.0	1169.0	0.01361169977410866	0.002631680105585968	1.0079017207039964	0.02907464025592294
gdna_low_ss_0.99_nrna_low	15	2448	381	178616	14397	56271	19	8	2	180731.0	12663.0	1996.0	0.010215466502891653	0.00835895833235405	1.0059367165993114	0.012658096941994063
gdna_low_ss_0.50_nrna_low	44	2310	253	94309	10069	19206	15	5	1	96384.0	8247.0	2306.0	0.021564098487894742	0.01281435094967925	1.0174003580281346	0.02207758694841873
gdna_low_ss_0.99_nrna_low	44	2278	201	94390	11487	19206	15	5	1	96450.0	9628.0	859.0	0.008032766956245265	0.005016926999609378	1.0174003580281346	0.02147476385301382
gdna_zero_ss_0.99_nrna_high	20	2278	0	79604	8488	32111	7	3	2	79726.0	8366.0	985.0	0.011057848827418974	0.0127584201198942	0.9651796526018618	0.02585932888344004
gdna_low_ss_0.99_nrna_high	32	2266	189	23266	4771	24025	9	3	1	23456.0	4770.0	1695.0	0.056649176163898265	0.039789959041379885	1.0126096316856685	0.08028059236165237
gdna_high_ss_0.99_nrna_high	6	2256	649	11825	2728	18499	14	7	1	12527.0	2675.0	5569.0	0.26811419767945693	0.192608542997579	1.0074930131663178	0.14840152611498486
gdna_low_ss_0.99_nrna_low	7	2253	13	2240	0	1284	2	2	1	2253.0	0.0	48.0	0.020860495436766623	0.01579450519420234	1.2603211404317418	1.0
gdna_med_ss_0.99_nrna_zero	7	2253	36	2217	0	1284	2	2	1	2253.0	0.0	157.0	0.06514522821576764	0.03783328413661125	1.2730422749268537	1.0
gdna_zero_ss_0.99_nrna_zero	7	2252	0	2252	0	1284	2	2	1	2252.0	0.0	0.0	0.0	0.0	1.19358394910093	1.0
gdna_zero_ss_0.50_nrna_zero	7	2252	0	2252	0	1284	2	2	1	2252.0	0.0	0.0	0.0	0.0	1.19358394910093	1.0
gdna_low_ss_0.50_nrna_zero	7	2251	15	2236	0	1284	2	2	1	2251.0	0.0	55.0	0.023850823937554208	0.009891525865715383	1.2731894146215197	1.0
gdna_zero_ss_0.99_nrna_low	7	2246	0	2246	0	1284	2	2	1	2246.0	0.0	6.0	0.0026642984014209592	0.006695668324239793	1.1981053357293254	1.0
gdna_low_ss_0.99_nrna_zero	7	2244	10	2234	0	1284	2	2	1	2244.0	0.0	62.0	0.026886383347788378	0.009921784444802968	1.2731894146215197	1.0
gdna_med_ss_0.50_nrna_zero	7	2238	48	2190	0	1284	2	2	1	2238.0	0.0	172.0	0.07136929460580912	0.03815709703218433	1.2730422749268537	1.0
gdna_low_ss_0.99_nrna_high	26	2235	348	9614	8144	55480	11	4	2	9905.0	8201.0	3401.0	0.15813456084065652	0.11070916156278691	1.0054592413261525	0.12343974373135977
